k,cv_accuracy_mean,cv_accuracy_std
1,0.4407103825136612,0.06528568319769006
2,0.4341530054644808,0.06667730363945193
3,0.3616939890710383,0.09207374612792424
4,0.3552459016393442,0.06997427254014271
5,0.2795628415300547,0.048853803724723366
6,0.29584699453551916,0.06143544541903792
7,0.28945355191256833,0.058492794677410975
8,0.28950819672131145,0.05882939408297391
9,0.2730054644808743,0.05371003754252767
10,0.27306010928961744,0.0599487423763219
11,0.2830054644808743,0.07862882905662735
12,0.2730054644808743,0.03566929164740795
13,0.27633879781420767,0.066072669530849
14,0.28295081967213115,0.07020146077828053
15,0.28295081967213115,0.07020146077828053
16,0.28295081967213115,0.07020146077828053
17,0.2863387978142077,0.06907760914999118
18,0.2993989071038251,0.09395419673244726
19,0.3059016393442623,0.08786640564246805
20,0.26639344262295084,0.06671647785286763
