trial,max_depth,max_depth_order,min_samples_split,min_samples_leaf,criterion,class_weight,tree_depth,leaf_count,params,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_roc_auc_mean,running_best_accuracy,running_best_f1,running_best_roc_auc,rank
73,6,6,2,1,entropy,None,6,31,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8188811188811188,0.024031667931078256,0.732864286521159,0.84865848928153,0.8188811188811188,0.7423774299563745,0.8529839539596594,1
74,6,6,10,1,entropy,None,6,26,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8174726681768935,0.02172575989511835,0.730320426872036,0.8449801436517739,0.8188811188811188,0.7423774299563745,0.8529839539596594,2
119,6,6,10,1,gini,balanced,6,27,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8160346695557962,0.02222088480758814,0.7551505161389198,0.8401282812450525,0.8188811188811188,0.7551505161389198,0.8529839539596594,3
29,6,6,10,1,gini,None,6,27,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8160149709445484,0.01619553522503636,0.736297609170357,0.8424208912531796,0.8160149709445484,0.736297609170357,0.8529839539596594,4
75,6,6,20,1,entropy,None,6,24,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8146459174628188,0.015907021940182054,0.730421347726741,0.8475084438955912,0.8188811188811188,0.7423774299563745,0.8529839539596594,5
31,6,6,2,5,gini,None,6,30,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.8146360681571949,0.02086251729703732,0.7370287369854319,0.849499831122088,0.8160149709445484,0.7370287369854319,0.8529839539596594,6
32,6,6,10,5,gini,None,6,30,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.8146360681571949,0.02086251729703732,0.7370287369854319,0.849499831122088,0.8160149709445484,0.7370287369854319,0.8529839539596594,7
118,6,6,2,1,gini,balanced,6,35,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8132276174529697,0.02709904664717267,0.7514349089349088,0.8374759876719124,0.8188811188811188,0.7514349089349088,0.8529839539596594,8
16,4,4,2,10,gini,None,4,13,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.8132276174529697,0.014784709965538346,0.7270785097446646,0.8495646380207509,0.8132276174529697,0.7270785097446646,0.8529839539596594,9
17,4,4,10,10,gini,None,4,13,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.8132276174529697,0.014784709965538346,0.7270785097446646,0.8495646380207509,0.8132276174529697,0.7270785097446646,0.8529839539596594,10
