trial,n_estimators,max_depth,max_depth_order,min_samples_split,min_samples_leaf,max_features,class_weight,params,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_roc_auc_mean,running_best_accuracy,running_best_f1,running_best_roc_auc,rank
149,300,8,8,10,1,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.8287107258938246,0.022883975120189623,0.7722616585982923,0.8807199212606737,0.8287107258938246,0.7722616585982923,0.8833895380133624,1
161,300,8,8,10,1,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.8287107258938246,0.022883975120189623,0.7722616585982923,0.8807199212606737,0.8287107258938246,0.7730770342535049,0.8833895380133624,2
150,500,8,8,10,1,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.8287107258938244,0.021544472973699564,0.7730770342535049,0.8792635867557499,0.8287107258938246,0.7730770342535049,0.8833895380133624,3
162,500,8,8,10,1,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.8287107258938244,0.021544472973699564,0.7730770342535049,0.8792635867557499,0.8287107258938246,0.7730770342535049,0.8833895380133624,4
174,500,None,999,10,1,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.8244755244755245,0.023203433929188565,0.769553247494424,0.8804652586470768,0.8287107258938246,0.7730770342535049,0.8833895380133624,5
186,500,None,999,10,1,log2,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.8244755244755245,0.023203433929188565,0.769553247494424,0.8804652586470768,0.8287107258938246,0.7730770342535049,0.8833922295050822,6
148,100,8,8,10,1,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.823096621688171,0.024403757136267076,0.765047685047685,0.8773629582132717,0.823096621688171,0.7690274458407216,0.8833895380133624,7
160,100,8,8,10,1,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.823096621688171,0.024403757136267076,0.765047685047685,0.8773629582132717,0.8287107258938246,0.7730770342535049,0.8833895380133624,8
147,500,8,8,2,1,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.823086772382547,0.02752830001042565,0.7651497774935729,0.8760234529200048,0.823086772382547,0.7690274458407216,0.8833895380133624,9
159,500,8,8,2,1,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.823086772382547,0.02752830001042565,0.7651497774935729,0.8760234529200048,0.8287107258938246,0.7730770342535049,0.8833895380133624,10
173,300,None,999,10,1,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.8216586230670739,0.020839245469094027,0.7656023915732655,0.8811742556178294,0.8287107258938246,0.7730770342535049,0.8833895380133624,11
185,300,None,999,10,1,log2,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.8216586230670739,0.020839245469094027,0.7656023915732655,0.8811742556178294,0.8287107258938246,0.7730770342535049,0.8833922295050822,12
77,300,None,999,10,1,sqrt,None,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.8216487737614498,0.01943569246197724,0.7516953448045884,0.8810888667236629,0.8216487737614498,0.7531526405271215,0.8819285989466241,13
89,300,None,999,10,1,log2,None,"{'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.8216487737614498,0.01943569246197724,0.7516953448045884,0.8810888667236629,0.8216487737614498,0.7531526405271215,0.8833895380133624,14
151,100,8,8,2,5,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.8216389244558258,0.02414485306216275,0.7694251955628064,0.8818763787298269,0.8287107258938246,0.7730770342535049,0.8833895380133624,15
154,100,8,8,10,5,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.8216389244558258,0.02414485306216275,0.7694251955628064,0.8818763787298269,0.8287107258938246,0.7730770342535049,0.8833895380133624,16
163,100,8,8,2,5,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.8216389244558258,0.02414485306216275,0.7694251955628064,0.8818763787298269,0.8287107258938246,0.7730770342535049,0.8833895380133624,17
166,100,8,8,10,5,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.8216389244558258,0.02414485306216275,0.7694251955628064,0.8818763787298269,0.8287107258938246,0.7730770342535049,0.8833895380133624,18
9,500,4,4,2,5,sqrt,None,"{'class_weight': None, 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 500}",0.8216389244558258,0.018007197554346436,0.7450375774419548,0.8770433435715568,0.8216389244558258,0.7450375774419548,0.8787972858153109,19
12,500,4,4,10,5,sqrt,None,"{'class_weight': None, 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 500}",0.8216389244558258,0.018007197554346436,0.7450375774419548,0.8770433435715568,0.8216389244558258,0.7450375774419548,0.8787972858153109,20
21,500,4,4,2,5,log2,None,"{'class_weight': None, 'max_depth': 4, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 500}",0.8216389244558258,0.018007197554346436,0.7450375774419548,0.8770433435715568,0.8216389244558258,0.7450375774419548,0.8787972858153109,21
24,500,4,4,10,5,log2,None,"{'class_weight': None, 'max_depth': 4, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 500}",0.8216389244558258,0.018007197554346436,0.7450375774419548,0.8770433435715568,0.8216389244558258,0.7450375774419548,0.8787972858153109,22
145,100,8,8,2,1,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8202698709740964,0.0276565029387216,0.7613731554377746,0.8745012956102298,0.8216487737614498,0.7690274458407216,0.8833895380133624,23
157,100,8,8,2,1,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8202698709740964,0.0276565029387216,0.7613731554377746,0.8745012956102298,0.8287107258938246,0.7730770342535049,0.8833895380133624,24
97,100,4,4,2,1,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8202600216684723,0.03268700084339618,0.7690274458407216,0.8778668740698521,0.8216487737614498,0.7690274458407216,0.8833895380133624,25
109,100,4,4,2,1,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 4, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8202600216684723,0.03268700084339618,0.7690274458407216,0.8778668740698521,0.8216487737614498,0.7690274458407216,0.8833895380133624,26
78,500,None,999,10,1,sqrt,None,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.8202600216684723,0.017706367126126138,0.7512125994879699,0.8798517304708527,0.8216487737614498,0.7531526405271215,0.8819285989466241,27
90,500,None,999,10,1,log2,None,"{'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.8202600216684723,0.017706367126126138,0.7512125994879699,0.8798517304708527,0.8216487737614498,0.7531526405271215,0.8833895380133624,28
