trial,kernel,C,gamma,degree,coef0,class_weight,params,valid_accuracy,valid_f1,valid_roc_auc,running_best_accuracy,running_best_f1,running_best_roc_auc,rank
14,rbf,1.0,0.1,None,None,balanced,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8268156424581006,0.7703703703703704,0.8428194993412385,0.8268156424581006,0.7703703703703704,0.8428194993412385,1
13,rbf,1.0,scale,None,None,balanced,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.8268156424581006,0.7703703703703704,0.8421607378129118,0.8268156424581006,0.7703703703703704,0.8424242424242425,2
27,poly,10.0,scale,2,0.0,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__coef0': 0.0, 'model__degree': 2, 'model__gamma': 'scale', 'model__kernel': 'poly'}",0.8212290502793296,0.7538461538461538,0.8213438735177865,0.8268156424581006,0.7703703703703704,0.8484848484848485,3
25,poly,1.0,scale,2,0.0,balanced,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__coef0': 0.0, 'model__degree': 2, 'model__gamma': 'scale', 'model__kernel': 'poly'}",0.8212290502793296,0.75,0.8484848484848485,0.8268156424581006,0.7703703703703704,0.8484848484848485,4
12,rbf,1.0,0.1,None,None,None,"{'model__C': 1.0, 'model__class_weight': None, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8212290502793296,0.7419354838709677,0.8368906455862978,0.8212290502793296,0.75,0.8424242424242425,5
24,poly,1.0,scale,3,0.0,None,"{'model__C': 1.0, 'model__class_weight': None, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'poly'}",0.8212290502793296,0.7288135593220338,0.8380764163372859,0.8268156424581006,0.7703703703703704,0.8476943346508564,6
9,rbf,0.1,scale,None,None,balanced,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.8100558659217877,0.75,0.8291172595520422,0.8100558659217877,0.75,0.8424242424242425,7
29,poly,10.0,scale,2,0.0,balanced,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'model__coef0': 0.0, 'model__degree': 2, 'model__gamma': 'scale', 'model__kernel': 'poly'}",0.8100558659217877,0.746268656716418,0.8488801054018446,0.8268156424581006,0.7703703703703704,0.8488801054018446,8
11,rbf,1.0,scale,None,None,None,"{'model__C': 1.0, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.8100558659217877,0.7258064516129032,0.8405797101449275,0.8100558659217877,0.75,0.8424242424242425,9
15,rbf,10.0,scale,None,None,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.8100558659217877,0.7258064516129032,0.80566534914361,0.8268156424581006,0.7703703703703704,0.8428194993412385,10
