總層數,PAS-第一類房屋單價,PAS-第二類房屋單價,PAS-第三類房屋單價,PAS-第四類房屋單價,BT-第一類房屋單價,BT-第二類房屋單價,BT-第三類房屋單價,BT-第四類房屋單價,C-第一類房屋單價,C-第二類房屋單價,C-第三類房屋單價,C-第四類房屋單價,U-房屋單價,J-房屋單價,DEHF-房屋單價,KL-房屋單價
35,26780,26560,24910,23700,23760,23210,22440,21670,,,,,,,,
34,26560,26290,24750,23430,23430,22820,22050,21280,,,,,,,,
33,26340,26070,24470,23210,23040,22490,21720,20950,,,,,,,,
32,26070,25790,24200,22880,22710,22110,21340,20570,,,,,,,,
31,25790,25520,23870,22550,22330,21780,20950,20240,,,,,,,,
30,25020,24360,23100,21830,21610,21010,20290,19520,,,,,,,,
29,24800,24140,22880,21610,21340,20790,20020,19250,,,,,,,,
28,24470,23870,22550,21280,21010,20460,19690,18920,,,,,,,,
27,24200,23540,22270,21010,20790,20180,19410,18640,,,,,,,,
26,24030,23370,22110,20790,20290,19690,18920,18200,,,,,,,,
25,23150,22490,21230,20020,19800,19250,18480,17710,,,,,,,,
24,23040,22380,21120,19800,19690,19080,18310,17540,,,,,,,,
23,22820,22160,20900,19580,19520,18920,18150,17320,,,,,,,,
22,22660,22050,20730,19360,19300,18700,18090,17270,,,,,,,,
21,22490,21830,20510,19140,19080,18480,17820,17210,,,,,,,,
20,21340,20680,19410,18090,18150,17490,16880,16280,,,,,,,,
19,21170,20570,19190,17870,17980,17380,16770,16170,,,,,,,,
18,21010,20350,18970,17600,17820,17160,16550,15950,,,,,,,,
17,20790,20070,18700,17320,17650,16990,16330,15670,,,,,,,,
16,20510,19850,18420,16990,17430,16770,16060,15400,,,,,,,,
15,19300,18640,17270,15840,16500,15840,15180,14520,,,,,,,,
14,19190,18480,17050,15620,16330,15620,14960,14300,,,,,,,,
13,19080,18370,16880,15400,16110,15450,14740,14020,,,,,,,,
12,18970,18260,16770,15230,16000,15230,14520,13800,,,,,,,,
11,18810,17980,16390,14850,15730,15010,14240,13530,,,,,,,,
10,17820,17050,15510,13970,14850,14080,13360,12650,,,,,,,,
9,17650,16830,15290,13690,14630,13860,13090,12260,,,,,,,,
8,17490,16600,15010,13310,14350,13580,12760,11930,,,,,,,,
7,17320,16500,14790,13030,14190,13310,12480,11660,,,,,,,,
6,17210,16330,14460,12700,13970,13090,12260,11330,,,,,,,,
5,16830,15890,13910,12150,12980,11930,10450,9350,,,,,,,,
4,16440,15450,13360,11600,12590,11880,10280,9130,11820,10670,9510,8360,,,,
3,16220,15230,12920,11160,12540,11820,10010,8800,11710,10500,8080,8080,,,6650,
2,16000,14960,12480,10720,12480,11710,9730,8410,11380,10120,7640,7640,7640,5720,6150,
1,15890,14740,11990,10230,12430,11660,9400,8080,11330,10010,7370,7370,7370,5440,5550,1150
